"quote","attribution"
"Gut sind die Waffen, ist nur die Absicht, die sie führt, gerecht.","William Shakespeare, König Heinrich IV. Erster Teil, V, 2"
"Hätten wir das Wort, hätten wir die Sprache, wir bräuchten die Waffen nicht.","Ingeborg Bachmann, Vorlesungen »Über Fragen zeitgenössischer Lyrik«, 1959"
"Ideen brauchen keine Waffen, wenn sie die grossen Massen überzeugen können.","Fidel Castro, aus einer Rede vom 3. August 1985, cuba.cu"
"Je mehr scharfe Waffen im Volk, umso wirrer der Staat.","Laotse, Dao-de-dsching, Kapitel 57"
"Mir fehlt der Arm, wenn mir die Waffe fehlt.","Friedrich Schiller, Wilhelm Tell III,1 / Tell"
"Mit schlechten Waffen wird man nie gut kämpfen.","Baltasar Gracián y Morales, Handorakel und Kunst der Weltklugheit"
"Seine Haltung ist: Wir haben die größte Knarre von allen - und das zeigen wir auch. Auge um Auge, Zahn um Zahn, bis alle Zähne draußen sind.","Martin Luther King III., über George W. Bush, Stern Nr. 25/2008 vom 12. Juni 2008, S. 50"
"Unter den Waffen schweigen die Gesetze.","Cicero, Pro Milone 4, 10"
"Waffen […] töten Menschen viele Male, nicht durch ihre eigene Bosheit, sondern die Bosheit derer, die sie bösartig gebrauchen.","Giovanni Boccaccio, Decamerone, Nachbemerkung"
"Wer Waffen schmiedet, bereitet Krieg und muss davon der Zither Klang nicht erwarten.","Johann Wolfgang von Goethe, Achilleis / 1. Gesang"
"Wer wollte die Waffen gegen die Götter richten?","Tibull, Elegien I, VI, 30"
"Wir tragen Konflikte heute zunehmend verbal aus und weniger mit Waffen. Ich werte das als zivilisatorischen Fortschritt und freue mich über jeden, der heil bleibt und überlebt.","Jutta Allmendinger, taz Nr. 8525 vom 8. März 2008, S. 3"
"Zu Fasching durften wir nie Cowboys sein, sondern mussten als Indianer rumlaufen, was wir ziemlich scheiße fanden. Waffen waren total verpönt.","Til Schweiger, über seine pazifistisch geprägte Erziehung, Stern Nr. 4/2007 vom 18. Januar 2007, S. 140,  stern.de"
"Daure aus, mein Bester, und warte die Erfolge Deiner wohlüberdachten Bestrebungen ruhig ab. Geduld, Überlegung und Mut, das sind die besten Waffen im Kampfe des Lebens.","Nikolai Abramowitsch Putjatin, Worte aus dem Buche der Bücher, hrsg. von A.W. Tappe, Dresden 1824, S. 50"
"Die Federn, die gegen Abrüstung schreiben, sind aus demselben Stahl gemacht, aus dem die Kanonen sind.","Aristide Briand, In Genf, September 1930"
"Die Spötterei ist eine höchst schädliche und gefährliche Waffe, wenn sie in ungeschickte und täppische Hände gerät.","Philip Stanhope Earl of Chesterfield, Briefe über die anstrengende Kunst, ein Gentleman zu werden"
"Die Waffe der Kritik kann allerdings die Kritik der Waffen nicht ersetzen, die materielle Gewalt muss gestürzt werden durch materielle Gewalt, allein auch die Theorie wird zur materiellen Gewalt, sobald sie die Massen ergreift.","Karl Marx, Zur Kritik der Hegelschen Rechtsphilosophie. Einleitung. MEW 1, S. 385, 1844"
"Kluge Sanftmuth sei des Weibes unwiderstehlichste Waffe.","August von Kotzebue, Die Belagerung von Saragossa IV, 1 (Nantchen). Lustspiel in vier Akten. Aus: Theater. 28. Band. Wien [u.a.]: Ignaz Klang [u.a.], 1841. S. 77. Google Books"
"Worte sind des Dichters Waffen.","Johann Wolfgang von Goethe, Deutscher Parnass"
"Recht hat immer jener, der den Griff des Dolches in der Hand hält.","Aus Burundi"
